,material_id,cif
10,10,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.26316000
_cell_length_b   3.64179000
_cell_length_c   4.15385554
_cell_angle_alpha   114.93352026
_cell_angle_beta   99.97382705
_cell_angle_gamma   91.15832000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.84520414
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.50256473  0.34379980  0.59318571  1
  C  C1  1  0.19294107  0.19101080  0.28737535  1
  C  C2  1  0.69530504  0.75053853  0.78625868  1
  C  C3  1  0.00025754  0.40436071  0.09492688  1
  C  C4  1  0.69524826  0.13044989  0.78563417  1
  C  C5  1  0.00020075  0.78427207  0.09430237  1
"
11,11,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.57024765
_cell_length_b   3.63366000
_cell_length_c   3.68348000
_cell_angle_alpha   76.98554000
_cell_angle_beta   83.42570063
_cell_angle_gamma   105.99186863
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.95459390
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.58094262  0.15238690  0.94067087  1
  C  C1  1  0.77244416  0.55804519  0.74870810  1
  C  C2  1  0.27323676  0.49872479  0.24995960  1
  C  C3  1  0.58061214  0.77273307  0.94174823  1
  C  C4  1  0.27254446  0.11902108  0.25090693  1
  C  C5  1  0.08125827  0.71339898  0.44288137  1
"
12,12,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.17534000
_cell_length_b   3.61438000
_cell_length_c   4.38796164
_cell_angle_alpha   104.39451932
_cell_angle_beta   102.39817851
_cell_angle_gamma   103.02164000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   45.52734430
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.80651787  0.56412970  0.30515953  1
  C  C1  1  0.80580060  0.18242340  0.30396968  1
  C  C2  1  0.50467548  0.52842399  0.99063894  1
  C  C3  1  0.31299536  0.12518566  0.80169102  1
  C  C4  1  0.50582547  0.91051699  0.99216274  1
  C  C5  1  0.99805912  0.96741517  0.49441459  1
"
13,13,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.42624000
_cell_length_b   2.42986691
_cell_length_c   8.44730551
_cell_angle_alpha   83.19305279
_cell_angle_beta   86.49305584
_cell_angle_gamma   60.06989012
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   42.85457306
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.02172132  0.80774623  0.13701780  1
  C  C1  1  0.68756196  0.47531595  0.13705032  1
  C  C2  1  0.35681647  0.30829342  0.80514259  1
  C  C3  1  0.65812784  0.29625927  0.46587765  1
  C  C4  1  0.68994132  0.64106414  0.80548949  1
  C  C5  1  0.32472979  0.96308699  0.46621436  1
"
14,14,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.43854000
_cell_length_b   2.54747000
_cell_length_c   6.45821357
_cell_angle_alpha   99.53524010
_cell_angle_beta   90.60223243
_cell_angle_gamma   90.98291000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   39.55537839
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.67656659  0.58427259  0.52237281  1
  C  C1  1  0.16522171  0.29417329  0.96359353  1
  C  C2  1  0.66496704  0.46297492  0.30098398  1
  C  C3  1  0.16118949  0.40283196  0.19349660  1
  C  C4  1  0.18041454  0.64395251  0.63061741  1
  C  C5  1  0.17777153  0.75135883  0.86003277  1
"
15,15,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.98824000
_cell_length_b   3.62516000
_cell_length_c   4.77742000
_cell_angle_alpha   111.09653000
_cell_angle_beta   107.45559000
_cell_angle_gamma   91.78052000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   45.49527822
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.35333301  0.45557447  0.70869784  1
  C  C1  1  0.54291135  0.24178721  0.89990718  1
  C  C2  1  0.04223077  0.18275764  0.40051925  1
  C  C3  1  0.04216868  0.80109133  0.40052989  1
  C  C4  1  0.35308651  0.83688171  0.70838864  1
  C  C5  1  0.85209279  0.39626973  0.20927770  1
"
16,16,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.78067000
_cell_length_b   3.63843000
_cell_length_c   4.80819278
_cell_angle_alpha   67.98739190
_cell_angle_beta   78.77048221
_cell_angle_gamma   85.99685000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   44.23588511
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.04174259  0.95878108  0.03383136  1
  C  C1  1  0.04143169  0.17234722  0.22582906  1
  C  C2  1  0.04325391  0.22986852  0.72661530  1
  C  C3  1  0.04188282  0.57709384  0.03397839  1
  C  C4  1  0.04361973  0.01624148  0.53467808  1
  C  C5  1  0.04298087  0.61165337  0.72653710  1
"
17,17,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.42634000
_cell_length_b   3.17365311
_cell_length_c   5.81166950
_cell_angle_alpha   94.15183250
_cell_angle_beta   95.68539253
_cell_angle_gamma   101.75374020
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.40077127
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.51789816  0.73618173  0.16145719  1
  C  C1  1  0.85116737  0.40278390  0.82814709  1
  C  C2  1  0.18453610  0.06977941  0.49467803  1
  C  C3  1  0.96245786  0.62523211  0.05019207  1
  C  C4  1  0.29582660  0.29222763  0.71672301  1
  C  C5  1  0.62909580  0.95882979  0.38341291  1
"
18,18,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.89266000
_cell_length_b   3.63913463
_cell_length_c   4.74382799
_cell_angle_alpha   105.33939958
_cell_angle_beta   106.27860535
_cell_angle_gamma   101.28507610
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   44.22001240
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.06778759  0.83726976  0.74857388  1
  C  C1  1  0.87494601  0.05207480  0.55788724  1
  C  C2  1  0.37436052  0.49117544  0.05742420  1
  C  C3  1  0.56495110  0.89499752  0.24787531  1
  C  C4  1  0.06549148  0.45613413  0.74825711  1
  C  C5  1  0.37218851  0.11004465  0.05741017  1
"
19,19,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.81096000
_cell_length_b   3.62715547
_cell_length_c   4.82767416
_cell_angle_alpha   67.98800078
_cell_angle_beta   74.95096912
_cell_angle_gamma   83.75069227
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   44.06520932
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.67599821  0.16072815  0.07228264  1
  C  C1  1  0.67423726  0.12364814  0.38270897  1
  C  C2  1  0.67239757  0.50583028  0.38282681  1
  C  C3  1  0.67395956  0.72028379  0.57244425  1
  C  C4  1  0.67602271  0.56417014  0.88252546  1
  C  C5  1  0.67746189  0.77851890  0.07220827  1
"
20,20,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.44883000
_cell_length_b   3.41033000
_cell_length_c   5.38470127
_cell_angle_alpha   75.48752228
_cell_angle_beta   89.83246983
_cell_angle_gamma   69.29750000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   40.54082523
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.64585722  0.90351629  0.06471304  1
  C  C1  1  0.77943769  0.64146080  0.59814197  1
  C  C2  1  0.40841969  0.37373900  0.00875222  1
  C  C3  1  0.79999835  0.59609238  0.87465412  1
  C  C4  1  0.28351631  0.63283115  0.47452992  1
  C  C5  1  0.25610153  0.68014298  0.19793962  1
"
21,21,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.28593082
_cell_length_b   3.63976000
_cell_length_c   4.14440750
_cell_angle_alpha   113.81225639
_cell_angle_beta   99.91639010
_cell_angle_gamma   92.55960180
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   44.31011785
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.15995316  0.44351209  0.01445443  1
  C  C1  1  0.66175451  0.38361277  0.51366757  1
  C  C2  1  0.35021609  0.23095757  0.20844170  1
  C  C3  1  0.85207968  0.17119753  0.70773728  1
  C  C4  1  0.16021907  0.82397905  0.01433377  1
  C  C5  1  0.85175708  0.79062010  0.70768244  1
"
22,22,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.46785000
_cell_length_b   3.33561000
_cell_length_c   5.20552339
_cell_angle_alpha   87.28036939
_cell_angle_beta   89.56466073
_cell_angle_gamma   69.31169000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   40.04049048
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.24596386  0.77094360  0.87377742  1
  C  C1  1  0.29037046  0.68896941  0.60019750  1
  C  C2  1  0.43942380  0.38234974  0.07919161  1
  C  C3  1  0.66139642  0.94215804  0.99799791  1
  C  C4  1  0.85584421  0.55226472  0.20413135  1
  C  C5  1  0.81652626  0.63448069  0.47750060  1
"
23,23,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.59120000
_cell_length_b   3.64835000
_cell_length_c   4.83185456
_cell_angle_alpha   67.84848284
_cell_angle_beta   89.08382433
_cell_angle_gamma   89.95151000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   42.30084418
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.90689614  0.37027526  0.28311247  1
  C  C1  1  0.90917802  0.81137051  0.78436871  1
  C  C2  1  0.90897685  0.42664165  0.78458635  1
  C  C3  1  0.90675767  0.15779371  0.09279208  1
  C  C4  1  0.90858518  0.21447371  0.59402066  1
  C  C5  1  0.90673085  0.77318035  0.09269283  1
"
24,24,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.87839000
_cell_length_b   4.19201750
_cell_length_c   4.21146336
_cell_angle_alpha   119.82108561
_cell_angle_beta   108.78379190
_cell_angle_gamma   90.64787104
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   40.82025512
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.79329985  0.11707157  0.97055663  1
  C  C1  1  0.79267276  0.11843010  0.63704398  1
  C  C2  1  0.79329985  0.78373824  0.30388996  1
  C  C3  1  0.79267275  0.78509676  0.97037730  1
  C  C4  1  0.79329984  0.45040490  0.63722329  1
  C  C5  1  0.79267275  0.45176343  0.30371064  1
"
25,25,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.68069000
_cell_length_b   4.19621491
_cell_length_c   4.19640552
_cell_angle_alpha   119.97479989
_cell_angle_beta   92.05085182
_cell_angle_gamma   90.16751987
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   40.85252596
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.41642117  0.82204010  0.22459204  1
  C  C1  1  0.41591916  0.15535317  0.89124108  1
  C  C2  1  0.41598217  0.82171740  0.89025781  1
  C  C3  1  0.41633195  0.48841004  0.22360529  1
  C  C4  1  0.41606073  0.15507423  0.55693587  1
  C  C5  1  0.41608782  0.48868834  0.55790280  1
"
